defect,status,history
2258,off,
2242,on,
1677,on,
2517,off,
2294,off,
40150,off,
2194,on,
2227,on,
1705,on,
2204,on,
2061,on,
2011,on,
2317,on,
2318,off,
2316,on,
2314,on,
2315,on,
1903,on,
2395,on,
1759,on,
1760,on,
2396,on,
2397,off,
2394,on,
2183,off,
2098,off,
2090,on,
39284,off,
2244,on,
5947,on,
39881,off,
2252,on,
3392,on,
2268,on,
3396,on,
2304,on,
3391,on,
2203,off,
39885,on,
2264,on,
2272,on,
2200,off,
39898,on,
3395,on,
3397,off,
3394,on,
3393,off,
1924,on,
1925,on,
2093,off,
38009,on,
2222,on,
2209,on,
1979,on,
1777,on,
1776,on,
13159,off,
38005,off,
1808,on,
13160,on,
1718,on,
2297,on,
2391,on,
40595,off,
38589,off,
4076,off,
1801,on,
2107,on,
2115,off,
2433,off,
2417,on,
2423,off,
2422,on,
2425,on,
39270,on,
2285,on,
2159,on,
2298,on,
2228,on,
2299,on,
2197,on,
2198,on,
1934,on,
2263,on,
4075,on,
40147,on,
2064,off,
2334,off,
2089,on,
1997,off,
2082,off,
2066,off,
1876,off,
2065,off,
37740,off,
1906,off,
37735,on,
37787,off,
2393,on,
1878,on,
2332,on,
2275,on,
37779,on,
2234,on,
2058,on,
2017,on,
2019,off,
1818,off,
2096,off,
1884,off,
4328,on,
2519,off,
1824,on,
4330,on,
40135,off,
1822,on,
2279,on,
1679,on,
1694,on,
2150,on,
4336,off,
38577,on,
2170,on,
38573,on,
2149,on,
1985,on,
1831,on,
2231,off,
1923,off,
38215,off,
2324,off,
2238,off,
38218,on,
2164,on,
2283,on,
2157,off,
2229,off,
4094,on,
2158,off,
2189,on,
2323,off,
1937,on,
2208,off,
2282,on,
2162,on,
38221,on,
2165,on,
2248,on,
2213,off,
2257,off,
4093,on,
40157,off,
1939,on,
1873,off,
2255,on,
39276,on,
38214,on,
2094,off,
2388,off,
2241,on,
2390,off,
2387,on,
2196,on,
2262,on,
2389,on,
40114,on,
1618,off,
2274,off,
2253,off,
38216,on,
