Код дефекта,Название дефекта
2258,"Грязь, мусор на контейнерной площадке (дворовая территория)"
2242,"Грязь, мусор, переполненные урны (дворовая территория)"
1677,"Заказ бункера для вывоза строительного, крупногабаритного мусора"
2517,"Несанкционированные объявления, надписи, рисунки (фасад, дворовая территория)"
2294,Переполненные мусорные контейнеры (дворовая территория)
40150,"Содержание, ремонт мусорных контейнеров, контейнерной площадки"
2194,Убрать упавшее дерево
2227,"Наклонившееся дерево, ветка"
1705,"Уход за деревьями, кустарниками (дворовая территория)"
2204,"Засохшие деревья, кустарники (сухостой)"
2061,"Убрать ветки, спил деревьев с земли"
2011,"Уход за клумбой, цветником, газоном (дворовая территория)"
2317,Насекомые в общедомовых помещениях
2318,Насекомые на дворовой территории
2316,"Грызуны (крысы, мыши) в квартире"
2314,"Грызуны (крысы, мыши) в общедомовых помещениях"
2315,"Грызуны (крысы, мыши) на дворовой территории"
1903,"Заблокирована входная дверь подъезда, оборудованная домофоном, кодовым замком (на вход/выход)"
2395,"Заказать, восстановить магнитный ключ для домофона"
1759,"Неисправен доводчик, магнит входной двери с домофоном"
1760,"Неисправен домофон, кодовый замок входной двери подъезда"
2396,"Сообщить, заменить код домофона"
2397,"Замена, установка трубки домофона в квартире"
2394,Неисправна трубка домофона в квартире
2183,"Грибок, плесень в квартире"
2098,"Вызов техника-смотрителя, составление акта"
2090,"Шум, гул в подвале, на техническом этаже"
39284,"Шум, гул в шахте лифта"
2244,"Не залит, некачественно залит каток, хоккейная площадка"
5947,"Избыточное, неравномерное применение противогололедных реагентов"
39881,"Складирование загрязненного снега на газоны, кустарники, под деревья"
2252,"Снег, гололед на детской площадке"
3392,"Снег, гололед на пешеходных дорожках"
2268,"Снег, гололед на площадке для выгула собак"
3396,"Снег, гололед на площадке для отдыха"
2304,"Снег, гололед на спортивной площадке"
3391,"Снег, гололед на тротуарах"
2203,"Снег, гололед при входе в подъезд"
39885,"Снег, лед на отмостке вокруг дома"
2264,"Снег на катке, хоккейной площадке"
2272,"Сосульки, снег на козырьке подъезда"
2200,"Сосульки, снег на крыше, элементах фасада, водостоке"
39898,"Сосульки, снег на проводах, уличных фонарях"
3395,"Снег, гололед в парковочных карманах (дворовая территория)"
3397,"Снег, гололед в парковочных карманах (дороги)"
3394,"Снег, гололед на проезжей части (дворовая территория)"
3393,"Снег, гололед на проезжей части (дороги)"
1924,"Запах канализации в подъезде (засор, течь лежака/стояка)"
1925,Запах канализации в квартире
2093,Прорыв системы канализации (дворовая территория)
38009,"Засор раковины, ванны (вода стоит, медленно уходит)"
2222,"Засор унитаза (вода стоит, медленно уходит)"
2209,Сложный засор унитаза (перелив через край чаши)
1979,"Неисправность осветительных приборов, отсутствие освещения в кабине лифта"
1777,"Все лифты или единственный лифт не работает (стоит, самопроизвольно движется, хлопает дверями)"
1776,"Один из лифтов не работает (стоит, самопроизвольно движется, хлопает дверями)"
13159,"Лифт работает некорректно (кнопки приказа/вызова, датчики веса и уровня кабины)"
38005,"Грязь, мусор в шахте лифта"
1808,"Помехи при движении кабины лифта (шум, скрежет, вибрации)"
13160,"Двери лифта работают некорректно (скрип, скрежет, рывки, неисправность датчика закрытия)"
1718,"Непрогрев приборов отопления в комнате, квартире"
2297,"Отсутствие отопления в комнате, квартире"
2391,"Непрогрев, отсутствие отопления в подъезде"
40595,Включение/отключение центрального отопления
38589,"Регулировка температуры отопительных приборов при помощи кранов, терморегуляторов, установленных в квартире"
4076,Экстремально высокая температура элементов системы отопления
1801,"Шум, гул, вибрация в системе отопления"
2107,Неисправность ковша мусоропровода
2115,Повреждение ствола мусоропровода
2433,Неисправна входная дверь (подъезд)
2417,"Закрыта, неисправна дверь пожарной, черной лестницы, переходного балкона"
2423,"Неисправен замок, входная дверь (квартира)"
2422,"Неисправен замок, дверь приквартирного, лифтового холла"
2425,"Неисправен замок, межкомнатная дверь (квартира)"
39270,"Открыта, неисправна дверь чердака, подвала, электрощитовой, мусорокамеры"
2285,Высокая температура горячей воды (ГВС)
2159,Непрогрев полотенцесушителя
2298,Низкая температура горячей воды (ГВС)
2228,Отсутствует горячая вода (ГВС)
2299,Отсутствует горячая и холодная вода (ГВС и ХВС)
2197,Отсутствует холодная вода (ХВС)
2198,Подмес в системе водоснабжения (вместо холодной течет горячая/теплая вода)
1934,Ржавая вода
2263,"Шум, гул в системе водоснабжения, канализации"
4075,Слабый напор в системе водоснабжения
40147,Сильный напор (избыточное давление) в системе водоснабжения
2064,"Грибок, плесень в подъезде"
2334,"Животные на крыше, чердаке, в подвале дома"
2089,"Запах химических веществ в подъезде (краска, ацетон, хлорка)"
1997,"Неисправность, недокомплект пожарного крана, шкафа"
2082,"Некачественно произведенный косметический, мелкий ремонт, повреждения в процессе работ (подъезд)"
2066,"Необходимы ремонтные работы в подъезде (косметический, мелкий ремонт)"
1876,"Повреждение ступеней, площадки крыльца подъезда"
2065,"Разрушение, трещины в стене, полу, потолке, ступенях лестницы (подъезд)"
37740,"Установка, ремонт информационных табличек, стендов в подъезде"
1906,"Несанкционированные объявления, надписи, рисунки (подъезд)"
37735,"Замена, установка, ремонт противоскользящего покрытия (коврики)"
37787,"Бесхозные вещи, предметы в подъезде"
2393,"Грязь, мусор в подъезде, на крыльце"
1878,"Грязь, мусор на крыше, козырьке подъезда, карнизе"
2332,"Грязь, мусор, несанкционированные объявления, надписи в кабине лифта"
2275,"Запах из мусоропровода, мусорокамеры"
37779,Запах канализации в подъезде после ликвидации засора в подвале
2234,Засор мусоропровода
2058,"Промывка, очистка ковша мусоропровода"
2017,Неисправность элементов уличного освещения (дворовая территория)
2019,Управление режимом включения/отключения уличного освещения
1818,Установка элементов уличного освещения (дворовая территория)
2096,Управление освещением подъезда
1884,Герметизация межпанельных швов
4328,"Неисправность осветительного прибора, замена лампы (подъезд)"
2519,"Не горит, мигает световой адресный указатель (домовой знак)"
1824,"Неисправность осветительного прибора, замена лампы (входная группа)"
4330,"Неисправность осветительного прибора, замена лампы (технические помещения)"
40135,"Неисправность розетки, выключателя в подъезде"
1822,Отсутствует электричество во всей квартире
2279,"Отсутствует электричество во всем подъезде, доме"
1679,"Неисправность осветительного прибора, замена лампы, патрона (квартира)"
1694,"Установка, демонтаж осветительных приборов в квартире"
2150,"Частично отсутствует освещение, ток в электросети в квартире"
4336,"Открыть, закрыть, отремонтировать дверцу электрощитка"
38577,"Установка, замена, ремонт розетки/выключателя в квартире"
2170,"Выбивает автомат (пробки) при включении электроприборов, освещения"
